address,total_sent,total_received,num_transactions_sent,num_transactions_received,pagerank,component_id
ae383747a1b2827286fe7cfee73d5e95f71bf30aa2cadcd6f4a0da77e6a5a435,50.0,0.0,1,0,1.4362098120097543e-05,0
e73c369368924e3eff618e24748c5cae2b09881926ef061948e8cc5b1c6205a6,50.0,0.0,1,0,1.4362098120097543e-05,1
4aba132096588499a7cd66deaf1006cb52b5498a59bd920bae4faea2a4582c61,50.0,0.0,1,0,1.4362098120097543e-05,0
9f2ad7e33e280ee1f7dc6ec3c2044e430445d4a54a9c12679f69d7ce399b67c5,50.0,0.0,1,0,1.4362098120097543e-05,1
23d8d73172f834cac313d3fb26f9a23a113a02b012590b68bad447dffeeb0973,50.0,0.0,1,0,1.4362098120097543e-05,1
8159a411eb9863c3986c5ca3fc4ef5cfe414731eca1dbdf5edfa9cd21997578f,50.0,0.0,1,0,1.4362098120097543e-05,1
72cad96e9aecbbf87693981e08192f131c5e6d5b05320390a47303253a96aae3,50.0,0.0,1,0,1.4362098120097543e-05,0
9b4156ceddfd64145b604c5cad60d06b5236d13d322b7988cdd815b6032e185e,50.0,0.0,1,0,1.4362098120097543e-05,0
7a3874900d2a8677715b037d5f0af16ae97664d1c380b5ff77b1d1a34d1cda36,50.0,0.0,1,0,1.4362098120097543e-05,0
e3e07bd3bb9c295e898c6f679f3b75c844b759d292b3191a5260cc08ce50d1b5,50.0,0.0,1,0,1.4362098120097543e-05,1
826acde1b04471f9c84f2762b165f96772ab59161030ab56d35dab5abceb929c,50.0,0.0,1,0,1.4362098120097543e-05,1
0b712f51121973ccd37713599514aa6b5b2eb6d54abbcdb1480a454ed79bb2ac,50.0,0.0,1,0,1.4362098120097543e-05,0
8debdb1723672a7bc8be053b03fa52360ba730d1c4d71270da806203a1f36c38,15.0,0.0,1,0,1.4362098120097543e-05,0
df37e7a35bfe8d1f659cf92d24dc09879b7a646f60989b2ace6cff5d6f04ed55,50.0,0.0,1,0,1.4362098120097543e-05,0
05312eadd97f2a6585b144d56ca1fdf6cb1099ff50dc24ceb08d7a5c8c9c5d93,50.0,0.0,1,0,1.4362098120097543e-05,0
cc56275ea5686435f0a6125ff4f7cdadaa6d905ea185016f3de6fd23bd3eed60,50.0,0.0,1,0,1.4362098120097543e-05,0
1ed561caa0e4a5a4986c0d9bb7cf32ce159bfeeab2bdba93915767fa6687e75d,50.0,0.0,1,0,1.4362098120097543e-05,0
d303e9328af83e894248aef9325db25574ae3e761c65a583a5517a86422315c4,50.0,0.0,1,0,1.4362098120097543e-05,0
a695670a3ba30572c1c4cc150ae18a934c669528f29371c28abc6e50ce4c5dd2,50.0,0.0,1,0,1.4362098120097543e-05,1
ce1696efce1817ead20ad5b974a21ee85c01130c1d550a771de51eadda8722bc,50.0,0.0,1,0,1.4362098120097543e-05,1
374b6949410313595deafa5111f3097deb07166f1d76892dc0ac3b1e64296531,50.0,0.0,1,0,1.4362098120097543e-05,0
ff3d0e80a95e656f0202f834b29d061f6c191112227fbfa8ad11b7b6b5cb1301,50.0,0.0,1,0,1.4362098120097543e-05,0
50e68a2f3aa1e58f2b1d3ee8923aaabab28c8750bca0207f1899c370ad0b8474,50.0,0.0,1,0,1.4362098120097543e-05,1
876d199a6c4a30430e38880af455e03f80742e278ef4fe4390988ba83e177d2f,50.0,0.0,1,0,1.4362098120097543e-05,1
ec725ddfe0d4ae522bfce85e90f16ad24b4f3e6467e8b283384148013c1e569e,50.0,0.0,1,0,1.4362098120097543e-05,1
348b9eac1629c1ba1087d6441273570cba5382dffed986f5fb7b79e7113e2b05,50.0,0.0,1,0,1.4362098120097543e-05,1
fd6571d53c347152b4c999aacac464aeef60d1cefd3dee902ac2b762a548cc89,50.0,0.0,1,0,1.4362098120097543e-05,1
8098b7e6420c3ba6ce473cd230498153c6575ec6bf6df4ed288268bc49416e39,50.0,0.0,1,0,1.4362098120097543e-05,1
11859ded6828a0ee059fbe6420538918183be4e92a93f0d5050890ea9d992dd8,50.0,0.0,1,0,1.4362098120097543e-05,1
d38e5057d0efe83a74066bbaeb7dc9669a210e612997457e432025ca913639ef,50.0,0.0,1,0,1.4362098120097543e-05,1
e8fb92ddfc0c4e0738ff6ac32693e9ea03b33b61f153b0dab4823df7a0aa3d61,50.0,0.0,1,0,1.4362098120097543e-05,1
84f22a293d5f7884a0b5d108bb38d6b68d6d88ff4c9d2a21888f1b21f5e888a4,50.0,0.0,1,0,1.4362098120097543e-05,1
9065cd8dd3d9d295c850459a398999657fc32d21351b06444d954354213fbd57,50.0,0.0,1,0,1.4362098120097543e-05,1
f16f667ecafc45b7f935d8cf3951e4c020ceea4144a84132e5eda3bb30937501,50.0,0.0,1,0,1.4362098120097543e-05,1
af745d2107ea16e4b1c1a6abf6b410c944d18bf0132bf8b70089b9416accbde3,50.0,0.0,1,0,1.4362098120097543e-05,1
4dc079e058cef79155701632803b6740bc62c4023ab7b51326960efcd86a3426,50.0,0.0,1,0,1.4362098120097543e-05,0
3591178f3cea9dee9378b0868cb326f0b45d61991077a3191270d9f6349b3dd3,50.0,0.0,1,0,1.4362098120097543e-05,0
fc764b8c1fbde16eaa0c4771eb2687271bcbea531dd67d33919fa6acdeba3a19,50.0,0.0,1,0,1.4362098120097543e-05,0
f54029f83d8a5495b6ae27bb0cc2bf86b64548712e932a1a165964547c430c05,50.0,0.0,1,0,1.4362098120097543e-05,0
e6ef04ac369d55b2c8b07fbb74a3c80bc3e571b9d64fe926fa34384c03d72e0e,50.0,0.0,1,0,1.4362098120097543e-05,1
